text,category,template_id
A house party on 5th Avenue for two weeks now has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
The public water fountain in the park near Lakeview Drive isn't working every evening this week.,Parks & Public Spaces,Parks & Public Spaces::6
Yard waste hasn't been picked up on Cedar Street yesterday afternoon despite being scheduled.,Sanitation & Waste,Sanitation & Waste::11
There's a bad smell coming from an uncollected dumpster on Lakeview Drive since Monday.,Sanitation & Waste,Sanitation & Waste::3
There's a bad smell coming from an uncollected dumpster on Hillcrest Road since Monday.,Sanitation & Waste,Sanitation & Waste::3
"There's a gas smell near Elm Street for two weeks now, this may need urgent attention.",Water & Utilities,Water & Utilities::5
The electricity substation near Lakeview Drive has been making loud buzzing noises over the weekend.,Water & Utilities,Water & Utilities::16
The swings at the playground on Riverside Drive are rusted and need replacing this morning.,Parks & Public Spaces,Parks & Public Spaces::11
"Someone burned trash illegally near Elm Street for the past three days, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
Heavy trucks are damaging the road surface on Church Road over the weekend.,Traffic & Roads,Traffic & Roads::18
A sewage smell is coming from a manhole on Hillcrest Road for two weeks now.,Water & Utilities,Water & Utilities::3
"There have been reports of break-ins near Station Road yesterday afternoon, residents want more patrols.",Public Safety,Public Safety::9
The swings at the playground on Church Road are rusted and need replacing for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::11
"An open manhole cover on Cedar Street has been left uncovered yesterday afternoon, it's a serious hazard.",Water & Utilities,Water & Utilities::15
Continuous drilling noise from 5th Avenue for two weeks now has been reported by several residents.,Noise Complaints,Noise Complaints::12
The pedestrian crossing button on Cedar Street isn't working over the weekend.,Traffic & Roads,Traffic & Roads::14
There's a bad smell coming from an uncollected dumpster on Highfield Ave for two weeks now.,Sanitation & Waste,Sanitation & Waste::3
There's no working smoke detector reported in the shared stairwell on Highfield Ave this past hour.,Public Safety,Public Safety::14
Heavy trucks are damaging the road surface on Riverside Drive this morning.,Traffic & Roads,Traffic & Roads::18
The playground equipment at the park on Lakeview Drive is broken last night.,Parks & Public Spaces,Parks & Public Spaces::0
Recyclables are being mixed with regular trash by collectors on Main St for two weeks now.,Sanitation & Waste,Sanitation & Waste::17
Overgrown grass and weeds at the park near Cedar Street need to be cut since Monday.,Parks & Public Spaces,Parks & Public Spaces::3
Late-night parties on Riverside Drive last night are keeping residents awake.,Noise Complaints,Noise Complaints::5
Roadworks on Union Street have left an unmarked hole in the pavement for two weeks now.,Traffic & Roads,Traffic & Roads::16
The road markings/lane lines on Church Road have completely worn away yesterday afternoon.,Traffic & Roads,Traffic & Roads::12
"Garbage collection on Maple Avenue was missed every evening this week, bins are overflowing.",Sanitation & Waste,Sanitation & Waste::0
"Suspicious activity has been reported near Maple Avenue last night, requesting a patrol.",Public Safety,Public Safety::2
The crosswalk markings on 5th Avenue have faded and are barely visible this morning.,Traffic & Roads,Traffic & Roads::7
Park signage near Highfield Ave listing opening hours is faded and unreadable since Monday.,Parks & Public Spaces,Parks & Public Spaces::14
